Frecuencia,Palabra,Significado
2523,説,n. theory; explanation
2524,神社,n. shrine
2525,列車,n. train
2526,夢中,"n., na-adj. crazy about, obsessed with"
2527,トレーニング,n. training
2528,よほど、よっぽど,"adv. very, greatly"
2529,どうせ,adv. anyway
2530,坂,"n. slope, hill"
2531,検索（する）,"[1] n. search [2] v. search, look up"
2532,アップ（する）,[1] n. raise [2] v. go up
2533,絶える,"v. cease, fail"
2534,三十一日,n. thirty-first (date); thirty one days
2535,取材（する）,"[1] n. interview, report [2] v. gather information"
2536,ぶつかる,"v. strike, bump, collide"
2537,曲がる,"v. bend, wind; turn"
2538,ては,"p., conj. alternately do ... and ..."
2539,前年,"n. previous year, year before"
2540,飽きる,"v. tire, weary, be tired of, get bored"
2541,三十日,n. thirtieth (date); thirty days
2542,分類（する）,[1] n. classification [2] v. classify
2543,どっち,pron. which
2544,自分なり,n. in one’s own way
2545,覚悟（する）,"[1] n. readiness, preparedness [2] v. be ready"
2546,糸,"n. thread, string"
2547,逮捕（する）,[1] n. arrest [2] v. arrest
2548,収まる,"v. hold, pack"
2549,交渉（する）,"[1] n. negotiation, treaty [2] v. negotiate"
2550,枝,"n. branch, twig, bough"
2551,なにより,"adv. above all, chiefly, more than anything"
2552,教科書,n. textbook
2553,六時,n. six o’clock
2554,取り引き,"n. business, dealing, trade"
2555,免許,"n. license, permit"
2556,講ずる,v. take
2557,太い,i-adj. thick; heavy; bold
2558,開く【あく】,v. open
2559,及ぼす,"v. influence, affect"
2560,千円,n. one thousand yen
2561,独自,"na-adj. original, own"
2562,夕食,n. dinner
2563,震える,"v. shake, tremble"
2564,心臓,n. heart
2565,世界的,"na-adj. world, global"
2566,所属（する）,"[1] n. affiliation [2] v. attach, be attached, belong"
2567,騒ぐ,"v. make a noise, make a fuss"
2568,そっと,"adv. softly, lightly"
2569,溜める,"v. save, store, accumulate"
2570,晩,"n. night, evening"
2571,小屋,"n. hut, cabin, barn, shed"
2572,会議,n. meeting
2573,個性,"n. personality, character"
2574,たがる,aux. want to
2575,理想,"n. ideal, dream"
2576,給料,n. salary
2577,マスコミ,"n. mass media, mass communication"
2578,おい,interj. hey
2579,屋根,n. roof
2580,クリスマス,n. Christmas
2581,重なる,v. pile up; conspire
2582,各地,n. each place
2583,落ち込む,"v. sink, go down; be depressed"
2584,進化（する）,"[1] n. evolution [2] v. evolve, develop"
2585,とんでも,"adv. unexpected; outrageous, very offensive"
2586,思い付く,"v. think of, guess, conceive"
2587,新幹線,n. bullet train
2588,第三,n. third
2589,数える,"v. count, number"
2590,公開（する）,"[1] n. exhibition, presentation [2] v. release"
2591,地面,"n. ground, land"
2592,貢献（する）,"[1] n. contribution, service [2] v. contribute"
2593,台風,n. typhoon
2594,映る,v. reflect
2595,大臣,"n. Cabinet minister, minister of state"
2596,十四,num. fourteen
2597,入学（する）,"[1] n. (school etc.) entrance, admission [2] v. enter (school etc.)"
2598,紅茶,n. tea (black)
2599,控える,"v. abstain, hold back, refrain"
2600,促す,v. urge
2601,何事,n. what
2602,プレゼント,n. present
2603,配る,"v. deal, distribute, deliver"
2604,改革（する）,[1] n. reform [2] v. make reforms
2605,一致（する）,"[1] n. agreement, accord [2] v. consent, agree"
2606,ゼロ,n. zero
2607,義務,"n. duty, obligation"
2608,出席（する）,[1] n. attendance [2] v. attend
2609,十人,n. ten people
2610,処分（する）,"[1] n. disposal, disposition [2] v. dispose of"
2611,年間,n. year; annual
2612,広島,n. Hiroshima
2613,NHK(NHK),n. Nihon Hoso Kyokai (Japan Broadcasting Corporation)
2614,設計（する）,"[1] n. plan, design [2] v. plan, design"
2615,飛び込む,"v. dive, plunge"
2616,邪魔（する）,"[1] n. obstacle, disturbance, interruption [2] v. disturb, interrupt"
2617,ゆでる,v. boil
2618,プール,n. pool
2619,弁護士,"n. lawyer, counsellor"
2620,叱る,"v. scold, admonish"
2621,恋人,"n. lover, boyfriend, girlfriend"
2622,暮らし,"n. life, livelihood"
2623,王,"n. king, monarch"
2624,真似（する）,"[1] n. imitation, mimicry, impersonation [2] v. imitate, copy"
2625,税金,n. tax
2626,預ける,"v. leave, check, deposit"
2627,軟らかい,"i-adj. soft, tender"
2628,物事,n. thing
2629,相変わらず,"adv. as ever, as usual, the same, as before [always]"
2630,年金,"n. pension, annuity"
2631,やりとり,"n. exchange, interchange"
2632,ホーム,n. platform
2633,頼る,"v. depend, turn to, trust"
2634,学生時代,"n. student days, university days"
2635,憧れ,n. admiration
2636,内側,"n. inside, interior, inner"
2637,講師,"n. speaker, lecturer"
2638,池,n. pond
2639,接続（する）,[1] n. connection [2] v. connect
2640,役者,"n. actor, actress"
2641,光る,"v. shine, glitter, twinkle"
2642,富士山,n. Mt. Fuji
2643,必要性,n. necessity
2644,七時,n. seven o’clock
2645,としたら,p. conj. if so
2646,出演（する）,"[1] n. appearance, broadcast [2] v. appear (on stage, TV)"
2647,柱,"n. pillar, post"
2648,間に合う,"v. catch, get, make it"
2649,年代,n. era; generation; date
2650,鉄,"n. iron, steel"
2651,継続（する）,[1] n. continuation [2] v. continue
2652,特殊,na-adj. special
2653,引き上げる,"v. pull up; increase, raise"
2654,スペイン,n. Spain
2655,裁判,n. trial; judgment; justice
2656,はあ,"interj. oh, Oh boy, Oh dear"
2657,上回る,"v. exceed, surpass"
2658,地下鉄,"n. subway, underground"
2659,専門家,"n. expert, specialist"
2660,内部,"n. inside, interior"
2661,割る,v. break; crack
2662,スペース,"n. space, room"
2663,結果的,na-adj. result
2664,飲める,v. be able to drink
2665,割,"n. cost, rate"
2666,日記,n. diary
2667,担う,"v. cover, carry, take"
2668,揺れる,"v. shake, wave, swing"
2669,彼【かれ】,pron. he; boyfriend
2670,一匹,n. one (animal)
2671,憲法,n. constitution
2672,件,"n. affair, matter, issue"
2673,江戸時代,n. Edo era
2674,むく,"v. peel, pare"
2675,親切,na-adj. kind
2676,埼玉県,n. Saitama prefecture
2677,急速,"na-adj. rapid, speedy"
2678,燃える,"v. burn, flame, glow, be on fire"
2679,末【すえ】,"n. end, last"
2680,胃,"n. stomach, belly"
2681,九州,n. Kyushu
2682,ブログ,n. blog
2683,にすぎない,"aux. just, mere"
2684,想定（する）,"[1] n. assumption, supposition [2] v. assume, suppose"
2685,学習（する）,"[1] n. learning, study [2] v. learn, study"
2686,ケーキ,n. cake
2687,六年,n. six years
2688,袋,"n. bag, sack, pouch"
2689,医療,"n. medical care, medical treatment"
2690,増大（する）,"n. increase, growth; increase, grow"
2691,競争（する）,"[1] n. competition, contest [2] v. compete"
2692,投資（する）,[1] n. investment [2] v. invest
2693,ほっとする,v. be relieved
2694,お土産,"n. present, souvenir"
2695,記述（する）,"[1] n. description, account [2] v. describe"
2696,謝る,v. apologize
2697,にもかかわらず,"p. conj. in spite of, though, despite"
2698,獲得（する）,"[1] n. acquisition [2] v. get, gain"
2699,見直す,"v. review, look over"
2700,無人,"n. uninhabited, empty"
2701,心がける,"v. be careful, be prudent"
2702,テープ,n. tape
2703,七日,n. seventh (date); seven days
2704,二つ目,n. second
2705,板,"n. board, plate"
2706,自慢（する）,"[1] n. pride, boast [2] v. boast, brag"
2707,前項,n. previous page
2708,選挙,n. election
2709,更新（する）,"[1] n. renewal [2] v. renew, update"
2710,IT(IT),n. IT
2711,あちら,"pron. that way; that place, there; that"
2712,受け止める,"v. take, catch"
2713,景気,"n. business conditions, economy"
2714,二十五日,n. twenty-fifth (date); twenty-five days
2715,根拠,"n. ground, evidence"
2716,チケット,n. ticket
2717,民間,"n. private, non government"
2718,口調,"n. tone, voice"
2719,ふさわしい,"i-adj. suitable, appropriate"
2720,といっても,p. even though
2721,眼鏡,"n. glasses, spectacles"
2722,脇,n. side
2723,持ち込む,"v. bring, import"
2724,全身,"n. all over, whole body"
2725,兄さん,n. elder brother
2726,予測（する）,"[1] n. prospect [2] v. predict, estimate"
2727,あれ,interj. Oh
2728,つながり,"n. connection, relation"
2729,欠ける,v. lack; chip
2730,嫌う,"v. hate, detest"
2731,保険料,n. insurance premium
2732,飛ばす,"v. let fly, fly"
2733,教わる,v. learn
2734,三十年,n. thirty years
2735,後半,"n. latter half, second half"
2736,たく,v. burn
2737,何日,n. many days; how many days
2738,防止（する）,[1] n. prevention [2] v. prevent
2739,遺伝子,n. gene
2740,本屋,n. bookshop
2741,明日,n. tomorrow
2742,早め,n. early
2743,独特,"na-adj. peculiar, unique; personal"
2744,今夜,n. tonight
2745,ゆえ,n. reason; therefore
2746,リズム,n. rhythm
2747,突く【つく】,v. push; prick
2748,魂,"n. soul, spirit"
2749,滞在（する）,"[1] n. stay, visit [2] v. stay, visit, stop"
2750,連携（する）,[1] n. cooperation [2] v. work together with
2751,ライブ,n. live (music)
2752,演ずる,"v. play, perform"
2753,廃止（する）,[1] n. abolition [2] v. repeal
2754,復活（する）,"[1] n. revival, restoration [2] v. revive, restore"
2755,借金（する）,"[1] n. debt, loan [2] v. borrow (money)"
2756,常識,"n. common sense, general knowledge"
2757,闇,"n. darkness, dark"
2758,見守る,"v. watch, observe"
2759,不便,[1] n. inconvenience [2] na-adj. inconvenient
2760,栄養,n. nutrition
2761,フランス語,n. French language
2762,アクセス,n. access
2763,PC(PC),n. personal computer
2764,不幸,"na-adj. unhappiness, misfortune"
2765,こだわる,v. stick to; be particular about
2766,カット,n. cut
2767,乾く,v. dry
2768,おまけ,"n. addition, free gift"
2769,をはじめ,"p. starting with ... , including"
2770,ついで,"n. on one’s way, along the way"
2771,名称,n. name
2772,鍛える,"v. train, discipline"
2773,大学生,"n. college student, university student"
2774,左手,n. left hand; on one’s left
2775,乾燥（する）,[1] n. dryness [2] v. dry
2776,たった,"adv. just, only"
2777,およそ,"adv. around, about"
2778,八日,n. eighth (date); eight days
2779,ぴったり,adv. tight; exactly
2780,添える,"v. attach, add"
2781,ノート,n. notebook
2782,配置（する）,"[1] n. arrangement, layout [2] v. arrange"
2783,輸出（する）,[1] n. exportation [2] v. export
2784,陰,"n. shade, shadow; behind someone’s back"
2785,漬ける,v. soak; pickle
2786,果物,n. fruit
2787,個々,"n. individual, each"
2788,十六日,n. sixteenth (date); sixteen days
2789,電話番号,n. telephone number
2790,混む,v. be crowded
2791,築く,"v. build, have"
2792,穏やか,"na-adj. mild; calm, peaceful"
2793,結び付く,"v. join, be connected with"
2794,崩れる,"v. crumble, collapse"
2795,届ける,v. deliver; send; report
2796,プレー,n. play
2797,進歩（する）,"[1] n. progress, advance [2] v. progress, advance"
2798,百,n. hundred
2799,（お）尻,n. hips
2800,汚れる【よごれる】,"v. dirty, soil"
2801,産業,n. industry
2802,前日,"n. eve, previous day"
2803,吸収（する）,"[1] n. absorption, assimilation [2] v. absorb, assimilate"
2804,驚き,"n. surprise, amazement"
2805,ソ連,n. the Soviet Union
2806,悲しみ,"n. sadness, grief"
2807,十一日,n. eleventh (date); eleven days
2808,最低,"n. minimum, lowest"
2809,十六,num. sixteen
2810,にんにく,n. garlic
2811,順番,"n. turn, order"
2812,裁判所,"n. court, courthouse"
2813,観光（する）,[1] n. sightseeing [2] v. go sightseeing
2814,申し訳,"n. excuse, apology"
2815,葉っぱ,n. leaf
2816,生き物,"n. creature, life"
2817,演出（する）,"n., v. direction, direct"
2818,ですが,"conj. but, however"
2819,本気,"[1] n. seriousness, earnestness [2] na-adj. serious, earnest"
2820,三年生,"n. third grade, third year"
2821,記入（する）,[1] n. entry [2] v. fill in
2822,見上げる,v. look up; respect
2823,話し合い,"n. discussion, meeting"
2824,値,n. price
2825,一人暮らし,"n. living alone, single life"
2826,趣旨,"n. purpose, intention, point"
2827,柔らかい,i-adj. soft
2828,舌,n. tongue
2829,三時間,n. three hours
2830,後悔（する）,"[1] n. repentance, regret [2] v. regret"
2831,詰める,"v. plug, pack, stuff"
2832,勝利,"n. victory, triumph, winning"
2833,自覚（する）,"[1] n. consciousness, awareness [2] v. realize"
2834,今朝,n. this morning
2835,総合的,"na-adj. synthetic, integrated, comprehensive"
2836,美しさ,n. beauty
2837,法人,n. corporation
2838,滑る【すべる】,"v. slide, slip; be slippery"
2839,極端,na-adj. extreme
2840,留学（する）,[1] n. study abroad [2] v. study abroad
2841,念,"n. sense, feeling"
2842,銀座,n. Ginza (place name)
2843,十五年,n. fifteen years
2844,漂う,"v. drift, float"
2845,測る,v. measure; weigh
2846,永遠,"n. eternity, permanence"
2847,十四日,n. fourteenth (date); fourteen days
2848,取り戻す,"v. take back, repossess"
2849,いっぺん,n. at the same time; altogether
2850,門,n. gate
2851,伸び,n. growth
2852,たどる,"v. follow, trace, search"
2853,事例,n. case
2854,どなた,pron. who
2855,やばい,"i-adj. risky, chancy"
2856,冗談,n. joke
2857,巣,n. nest
2858,進展（する）,"[1] n. progress, development, evolution [2] v. develop, progress, advance"
2859,手伝い,n. help
2860,死亡（する）,"[1] n. death, decease [2] v. die"
2861,細胞,n. cell
2862,犠牲,"n. sacrifice, expense"
2863,殴る,"v. hit, strike"
2864,前後,n. back and forth
2865,対立（する）,"[1] n. opposition, conflict [2] v. be opposed to"
2866,六日,n. sixth (date); six days
2867,比率,"n. ratio, proportion"
2868,タイ,n. Thailand
2869,放つ,"v. fly, loose"
2870,香港,n. Hong Kong
2871,湖,n. lake
2872,稼ぐ,v. earn
2873,出現（する）,"[1] n. appearance, dawn, birth, advent [2] v. appear"
2874,真実,"n. truth, reality"
2875,前回,"n. last time, previous time"
2876,工事（する）,"[1] n. construction, work [2] v. construct"
2877,科学,n. science
2878,順,n. order
2879,読者,n. reader
2880,不足（する）,"[1] n. lack, shortage [2] v. be insufficient"
2881,社会的,na-adj. social
2882,限定（する）,"[1] n. restriction, limitation [2] v. restrict, limit"
2883,劇団,n. theatrical company
2884,看護婦,n. nurse (female)
2885,人参,n. carrot
2886,一面,"n. side, facet"
2887,生涯,"n. life, lifetime; career"
2888,意思,"n. will, intention"
2889,追加（する）,"[1] n. addition, supplement [2] v. add, supplement"
2890,台湾,n. Taiwan
2891,日常生活,n. daily life
2892,拭く,"v. wipe, dry"
2893,レース,n. race
2894,民族,"n. people, race, nation"
2895,天,"n. sky, heaven"
2896,花火,n. firework
2897,項目,"n. item, heading"
2898,動向,"n. trend, movement"
2899,にしろ,p. conj. even if
2900,日頃,n. everyday
2901,砂,n. sand
2902,大根,"n. Japanese radish, radish"
2903,感激（する）,[1] n. deep emotion [2] v. be impressed
2904,浮く,"v. float, suspend"
2905,まして,"adv. much less, much more"
2906,リスク,n. risk
2907,引っ掛かる,v. catch; be caught
2908,オークション,n. auction
2909,二十一日,n. twenty-first (date); twenty-one days
2910,ほら,interj. Look!
2911,を通して,cp. according to; through
2912,武器,n. weapon
2913,都内,n. in the city
2914,違反（する）,[1] n. violation [2] v. violate
2915,すっきり（する）,"adv., v. feel refreshed"
2916,十二日,"n. twelfth (date), twelve days"
2917,別に,adv. (not) particularly
2918,十八日,n. eighteenth (date); eighteen days
2919,お宅,n. your house
2920,交通,n. traffic; transportation
2921,業界,n. business world
2922,解放（する）,[1] n. liberation [2] v. liberate
2923,需要,n. demand
2924,高度,"[1] n. altitude [2] na-adj. high, advanced"
2925,帰国（する）,"n., v. going/coming back to one’s own country"
2926,午前中,"n. in the morning, throughout the morning"
2927,実践（する）,[1] n. practice [2] v. practice
2928,深刻,na-adj. serious
2929,十八,num. eighteen
2930,関係者,n. person concerned
2931,追いかける,"v. run after, chase"
2932,作用（する）,[1] n. action [2] v. act
2933,毎週,adv. every week
2934,五つ,num. five
2935,頻繁,na-adj. frequent
2936,差別（する）,[1] n. discrimination [2] v. discriminate
2937,大声,n. loud voice
2938,長年,adv. long time; many years
2939,固まり,"n. mass, lump"
2940,快適,na-adj. comfortable
2941,あいつ,pron. that fellow; that thing
2942,研修（する）,[1] n. training [2] v. study
2943,沈む,"v. sink, go down"
2944,男子,"n. boy, man"
2945,爪,n. nail; claw
2946,青年,n. young man
2947,捕まえる,"v. catch, arrest"
2948,こいつ,pron. this fellow; this thing
2949,氷,n. ice
2950,十七日,n. seventeenth (date); seventeen days
2951,鋭い,"i-adj. sharp, pointed"
2952,いじめる,"v. torment, bully, tease"
2953,業者,"n. dealer, agent, operator"
2954,大半,"n. better part, most part"
2955,作り上げる,"v. make up, build up"
2956,三つ目,n. third
2957,称する,v. call; pretend
2958,とすれば,p. conj. if that is the case
2959,支持（する）,[1] n. support [2] v. support
2960,九日,n. ninth (date); nine days
2961,雌,n. female animal
2962,跡,"n. track, trail; mark, sign"
2963,トマト,n. tomato
2964,エピソード,"n. episode, anecdote"
2965,真【まこと】,"n. truth, fact"
2966,訪問（する）,"[1] n. visit, call [2] v. visit, call (on)"
2967,スピーチ,n. speech
2968,一見,adv. at a glance
2969,足元,n. at one’s feet; step
2970,台所,n. kitchen
2971,ねばならない,"cp. must, have to"
2972,毛,n. hair; fur; wool
2973,一点,"n. point, single point"
2974,二十三日,n. twenty-third (date); twenty-three days
2975,支給（する）,"[1] n. provision, payment [2] v. provide, pay"
2976,経費,"n. expense, cost"
2977,晴れる,"v. clear up, be dispelled; be refreshed"
2978,感心（する）,[1] n. admiration [2] v. admire
2979,ポケット,n. pocket
2980,決意（する）,[1] n. determination [2] v. resolve
2981,法則,n. law
2982,とはいえ,"p. conj. though, however"
2983,資産,"n. assets, property"
2984,慎重,"na-adj. careful, discreet"
2985,二十四日,n. twenty-fourth (date); twenty-four days
2986,尊敬（する）,[1] n. respect [2] v. respect
2987,尽くす,"v. do one’s best, devote; exhaust"
2988,謎,"n. mystery, riddle"
2989,田んぼ,n. rice field
2990,評判,n. reputation; popularity
2991,寒さ,n. cold
2992,天井,n. ceiling
2993,池袋,n. Ikebukuro (place name)
2994,せめて,"adv. at least, at most"
2995,喫茶店,"n. tearoom, coffee shop, café"
2996,従業員,"n. employee, worker"
2997,嫁,n. wife; bride; daughter-in-law
2998,浮かべる,v. float; show; imagine
2999,災害,"n. disaster, calamity"
3000,国際的,na-adj. international
3001,髪の毛,n. hair
3002,ないといけない,"cp. must, have to"
3003,加入（する）,"[1] n. admission, joining [2] v. join"
3004,受け付け,"n. acceptance, information desk, reception (desk)"
3005,玉【たま】,n. ball; coin
3006,型,"n. model, pattern, type"
3007,順調,"na-adj. satisfactory, favorable, smooth"
3008,専門,"n. specialty, speciality"
3009,供給（する）,[1] n. supply [2] v. supply
3010,振り,n. pretence
3011,売り上げ,n. sales
3012,建築（する）,"[1] n. architecture, construction [2] v. build"
3013,利用者,n. user
3014,多様,na-adj. various
3015,地方公共団体,n. local public body
3016,じゃん,p. disc. isn’t it?
3017,鉄道,"n. railroad, railway"
3018,誕生日,n. birthday
3019,五十年,n. fifty years
3020,役員,"n. official, director"
3021,設備,"n. equipment, facilities"
3022,悪化（する）,[1] n. change for the worse [2] v. worsen
3023,用,n. something to do; use
3024,ただいま,"adv. now, just now, at once; I’m back!"
3025,十三日,n. thirteenth (date); thirteen days
3026,遺跡,"n. ruins, remains"
3027,消費（する）,[1] n. consumption [2] v. consume
3028,模様,"n. pattern, design, look"
3029,深める,v. deepen
3030,パパ,"n. papa, dad"
3031,文【ぶん】,n. sentence
3032,中国人,n. Chinese (person)
3033,活性化（する）,[1] n. revitalization [2] v. revitalize
3034,聖書,n. Bible
3035,神経,n. nerve
3036,混乱（する）,[1] n. confusion [2] v. get confused
3037,ど,p. but (Classical)
3038,癒す,"v. heal, cure, recover from"
3039,磨く,"v. polish, brush; improve"
3040,動作（する）,"[1] n. movement, operation [2] v. operate"
3041,コンサート,n. concert
3042,粉,"n. flour, powder"
3043,身長,n. height
3044,賛成（する）,[1] n. agreement [2] v. agree
3045,形態,n. form
3046,につれて,cp. as
3047,部下,n. subordinate
3048,二十世紀,n. twentieth century
3049,ひょっとする,v. perhaps
3050,勤務（する）,"[1] n. service, duty, work [2] v. work, serve"
3051,恋愛（する）,[1] n. love (romantic) [2] v. love
3052,都道府県,n. prefectures
3053,誤解（する）,[1] n. misunderstanding [2] v. misunderstand
3054,直前,n. just before
3055,平均（する）,[1] n. average [2] v. average
3056,出身,n. hometown; alma mater
3057,区,"n. ward, district"
3058,しょう油,n. soy sauce
3059,こつ,n. knack
3060,翻訳（する）,[1] n. translation [2] v. translate
3061,ぼおっと,adv. vacantly; dimly
3062,ソース,n. sauce; source
3063,二十二日,n. twenty-second (date); twenty-two days
3064,固まる,v. harden; become certain
3065,ステージ,n. stage
3066,ストーリー,n. story
3067,越す,"v. cross, pass"
3068,まとまる,v. be well arranged; be united; be settled
3069,始まり,"n. beginning, origin"
3070,解く【とく】,v. untie; solve; remove
3071,別れ,"n. parting, farewell"
3072,女房,n. wife
3073,才能,"n. talent, ability"
3074,背後,n. back; background
3075,通過（する）,[1] n. passage [2] v. pass
3076,確信（する）,[1] n. conviction [2] v. be convinced
3077,株,"n. stump; stock, share"
3078,いまさら,adv. now (after such a long time)
3079,強力,"na-adj. strong, powerful"
3080,神戸,n. Kobe
3081,見出だす,"v. find, discover"
3082,北朝鮮,"n. Democratic People’s Republic of Korea, North Korea"
3083,側面,n. side; flank
3084,誇り,"n. pride, honor"
3085,作り,"n. make, construction"
3086,米【べい】,n. meter
3087,崩壊（する）,[1] n. collapse [2] v. collapse
3088,二十一,n. twenty-one
3089,直ちに,"adv. immediately, directly"
3090,バッグ,n. bag
3091,本書,n. this book
3092,器,n. container
3093,血液,n. blood
3094,衝撃,"n. shock, impact"
3095,嫌がる,v. be reluctant; hate
3096,製造（する）,[1] n. production [2] v. produce
3097,とりわけ,adv. especially
3098,小麦粉,n. flour
3099,気配,"n. indication, sign"
3100,理論,n. theory
3101,流行（する）,"[1] n. fashion, epidemic [2] v. come into fashion, be rife"
3102,見解,"n. opinion, view"
3103,承認（する）,[1] n. approval [2] v. approve
3104,いかにも,"adv. indeed, really, just"
3105,単位,"n. unit, credit"
3106,掘る,v. dig
3107,歌詞,n. song lyrics
3108,絡む,"v. get entangled, involve; pick a quarrel"
3109,文明,n. civilization
3110,長崎,n. Nagasaki
3111,構える,"v. get set, get ready; set up"
3112,わー,interj. wow!
3113,発音（する）,[1] n. pronunciation [2] v. pronounce
3114,共有（する）,[1] n. share [2] v. share
3115,勝負（する）,"[1] n. victory or defeat, match [2] v. play"
3116,住まい,"n. house, residence"
3117,二十八日,n. twenty-eighth (date); twenty-eight days
3118,重大,"na-adj. serious, important"
3119,各国,"n. each country, various countries"
3120,無理矢理,"adv. forcibly, against one’s will"
3121,五百円,n. five hundred yen
3122,出品（する）,[1] n. exhibit [2] v. submit
3123,祈る,"v. pray, wish"
3124,三番目,n. third
3125,メモ（する）,[1] n. memo [2] v. take notes
3126,平日,n. weekday
3127,支払い,n. payment
3128,皮膚,n. skin
3129,反面,n. other side
3130,代表的,"na-adj. representative, typical"
3131,整う,v. be ready; be well-regulated
3132,初心者,n. beginner
3133,たどり着く,"v. finally arrive at, struggle along to"
3134,焼ける,v. be burned; be roasted; be sunburned
3135,合併（する）,"[1] n. combination, merger [2] v. combine, merge"
3136,ウサギ,n. rabbit
3137,徹底（する）,"[1] n. thoroughgoing, out-and-out [2] v. be thorough"
3138,脱ぐ,v. take off
3139,八年,n. eight years
3140,ですけれど,conj. but
3141,意,n. mind; will; sense
3142,自民党,n. Liberal Democratic Party
3143,地下,n. basement; underground
3144,構築（する）,[1] n. construction [2] v. construct
3145,両者,"n. both, the two"
3146,適する,"v. suit, fit"
3147,引き受ける,v. undertake
3148,番号,n. number
3149,経営者,"n. manager, proprietor"
3150,焦る,v. be in a hurry; be impatient; be eager
3151,論文,"n. essay, thesis, paper, dissertation"
3152,タイミング,n. timing
3153,百パーセント,n. one hundred percent
3154,週末,n. weekend
3155,出品者,n. exhibitor
3156,二十六日,n. twenty-sixth (date); twenty-six days
3157,正式,"na-adj. formal, official"
3158,カラオケ,n. karaoke
3159,退職（する）,"[1] n. retirement, resignation [2] v. retire, resign"
3160,満ちる,v. be full; rise
3161,おとなしい,"i-adj. gentle, well‐behaved, quiet"
3162,知人,n. acquaintance
3163,刻む,v. cut into fine pieces; engrave; tick
3164,十九日,n. nineteenth (date); nineteen days
3165,千葉県,n. Chiba prefecture
3166,食材,"n. ingredient, foodstuff"
3167,携わる,"v. participate, be engaged"
3168,組み合わせ,"n. combination, matching"
3169,冷静,na-adj. calm
3170,台詞,"n. lines, speech, words"
3171,コート,n. coat; court
3172,二年生,"n. second grade, second year"
3173,ロック,n. rock; lock
3174,国会,"n. national assembly, Diet"
3175,編む,"v. knit, braid"
3176,破る,v. tear; break; beat
3177,真っ赤,na-adj. bright red; downright
3178,意図,n. intention
3179,さらす,v. expose
3180,手間,n. labour; time
3181,可愛がる,"v. love, treat with affection"
3182,森林,"n. forest, woods"
3183,マイナス,n. minus
3184,ラーメン,n. Chinese noodles
3185,帽子,"n. hat, cap"
3186,オープン（する）,"n., v. open"
3187,名古屋,n. Nagoya
3188,離す,"v. separate, divide; keep apart"
3189,数値,"n. numerical value; score, count"
3190,熱心,"na-adj. eager, enthusiastic"
3191,見直し,"n. review, reconsideration"
3192,盗む,v. steal
3193,一冊,n. one (book)
3194,強さ,"n. strength, power"
3195,紐,n. string; lace
3196,岩,n. rock
3197,ミス（する）,[1] n. mistake [2] v. make a mistake
3198,移行（する）,[1] n. shift [2] v. shift
3199,味方（する）,[1] n. supporter [2] v. support
3200,純粋,na-adj. pure; genuine
3201,転勤（する）,[1] n. transfer [2] v. be transferred
3202,ビートルズ,n. Beatles
3203,フライパン,n. frying pan
3204,一階,"n. first floor, ground floor"
3205,さっぱり,adv. not at all
3206,正面,n. front
3207,演劇,"n. drama, play"
3208,疲れ,"n. fatigue, exhaustion, tiredness"
3209,経緯,"n. details, process"
3210,探る,v. fumble; probe
3211,数学,n. mathematics
3212,関わり,"n. relation, connection"
3213,英国,"n. United Kingdom, Britain"
3214,巻き込む,v. involve
3215,退院（する）,[1] n. leaving hospital [2] v. be discharged from hospital
3216,覚え,n. memory
3217,優秀,na-adj. excellent
3218,リラックス（する）,"n., v. relax"
3219,施策,"n. policy, measure"
3220,瞳,n. pupil; eye
3221,二十七日,n. twenty-seventh (date); twenty-seven days
3222,権限,"n. authority, power"
3223,十七,num. seventeen
3224,展示（する）,"[1] n. display, exhibition [2] v. display, exhibit"
3225,三歳,n. three years old
3226,朝食,n. breakfast
3227,診断（する）,[1] n. diagnosis [2] v. diagnose
3228,ご免,"n. pardon, sorry [to decline]"
3229,缶詰,n. canned food
3230,こしょう,n. pepper
3231,潰れる,v. be crushed; go bankrupt; become useless
3232,海岸,"n. seashore, seaside"
3233,領域,"n. territory, field"
3234,出版（する）,[1] n. publication [2] v. publish
3235,映画館,"n. movie theater, cinema"
3236,気温,n. temperature
3237,由来（する）,"[1] n. origin, history [2] v. originate"
3238,引き起こす,"v. raise up, cause"
3239,筋,n. tendon; line; reason
3240,ガラス,n. glass
3241,同意（する）,"[1] n. agreement, consent [2] v. agree"
3242,土日,n. Saturday and Sunday
3243,認定（する）,[1] n. authorization [2] v. authorize
3244,おもちゃ,n. toy
3245,島【とう】,n. island
3246,丘,n. hill
3247,二年間,n. two years
3248,メディア,n. media
3249,一台,n. one (machine/vehicle)
3250,翌年,"n. the next year, the following year"
3251,酸素,n. oxygen
3252,よし,"interj. All right!, Good!"
3253,いまや,adv. now
3254,贅沢,[1] n. luxury [2] na-adj. luxurious
3255,金融機関,n. financial institution
3256,百円,n. one hundred yen
3257,黄色,n. yellow
3258,制定（する）,[1] n. enactment [2] v. enact
3259,文書,n. document; writing
3260,初期,"n. early days, initial stage"
3261,ぬれる,v. get wet
3262,はがき,n. postcard
3263,巨人,n. giant
3264,俺達,n. we (used by male speakers)
3265,苦痛,n. pain
3266,パワー,n. power
3267,いかなる,"adn. what kind of, any"
3268,あちこち,"pron. here and there, everywhere"
3269,実力,n. real ability
3270,面する,v. face
3271,もったいない,i-adj. wasteful; too good
3272,港,"n. harbour, port"
